Línea	Personaje	Pregunta	R A	R B	Diálogo A - ID	Diálogo B - ID	Descripción de imágen	Imagen URL	Diálogos URL	SFX URL	Música Ambiente	IsCheckPoint	Notas/Observaciónes
1	Nadie	¿Qué perdemos cuando nos roban el patrimonio cultural religioso?	¡La razón y la cordura!	Nada importante	2								
2	Nadie	En el interior de los templos se preservan colecciones de distintos objetos, como pinturas, esculturas, libros, entre otros. 			3								
3	Naide	El robo de un objeto que pertenece a un templo es un despojo que no sólo daña al patrimonio cultural del país, si no que afecta profundamente a las comunidades. 			4								
4	Todos	Estos objetos o imágnes de devoción y culto generan historias, vínculos y estrechas relaciónes con las personas de una comunidad. 			5								
5	Carro	Por ello, con los robos se llevan también los valores  y las historias depositadas en estos objetos.			6								
6	Papa	Hoy en conservando la cultura con  el Agente 00Cheemte, El caso de ...	"Un rompecabezas de fe"	"Un milagro inesperado"	7	207							Mensaje de "Proximamente" y salta al ID 8
7	Nadie	Año 2006 Lugar: Oficina del agente 00Cheemte			8								
8	Patiño	¡Ayuraaa! Necesitamos un perito, se robaron 3 pinturas de caballetes de nuestra iglesia. 	Sí, yo soy perrito.	No, aquí no es perrera. 	10	9							
9	Cheemte	Lo que necesita es un vaquero para los caballetes, no un perrito.			11								
10	Cheemte	Sí digame, yo soy el perito y también el perrito, ha ha ha.			11								
11	Parroco	No se haga el gracioso amigo, esto es en serio, nos han robado.			12								
12	Cheemte	Otsss, ni aguanta nada. Deme su dirección, voy para allá.			13								
13	Narradora	Tiempo después en un lugar de Puebla en México...			14								
14	Patiño	Gracias por venir. Nos han robado tres pinturas, bueno, dos, la tercera aquí está. hecha rompecabezas de 283 piezas...			15								
15	Cheemte	Hay dios mío, esto es un caso para las restauradoras Martha, Blanca y Christina, pero vamos viendo amigo.	¿Tiene fichas de registro de las piezas?	¿Tienen los videos de vigilancia?	18	16							
16	Patiño	Sea mamón, no stá viendo que es una iglesia. No hay cosas de valor económico.	¿Quién es el encargado de la vigilancia?	¿Tiene fichas de registro de las piezas?	17	18							
17	Patiño	Nadie, aquí todos somos muy honrrados. Nunca pensamos que se  fueran a robar a la virgen.			18								
18	Cheemte	Con las fichas de registro podemos identificar las piezas que se robaron, y también sirven para ayudarnos a restaurar la pintura de la virgen.			19								
19	Patiño	¿Fichas de re qué? No, aquí no tenemos de eso, suena cosa del diablo y aquí no aceptamos esas cosas. ¡Viva la libertad!	¿Tiene fotos?	¿Tiene videos?	20	21							
20	Patiño	¡Tengo muchas! Si viera nomás mis redes sociales, me quedan rete chulas.			21								
21	Patiño	No, si aquí no somos streamers ni influencers, ni que creyeramos en esas cosas del demonio.			22								
22	Cheemte	No sea bruto, me refiero a fotos o videos donde aparezcan las piezas robadas.			23								
23	Patiño	No, no tengo.			24								
24	Cheemte	¿Entonces cómo quiere que recuperemos algo que no conocemos?			25								
25	Patiño	Ah sí, sí tengo. Mire aquí está la foto de mi primera comunión.			26								
26	Narradora	Es importante que en los templos religiosos, museos y lugares donde existan bienes culturales se realicen inventarios con fichas de registro de bienes culturales.			27								
27	Narradora	Con éste  inventario podemos estar seguros de cuántos y cómo son los objetos que se encuentran en el sitio; También sirve para verificar su permanencia cada vez que haya cambio de encargados.			28								
28	Narradora	Además, en caso de que ocurra un robo, el inventario es clave para hacer la denuncia, al constatar la propiedad y procedencia.			29								
29	Narradora	Con las fotografías, el INAH y la policía pueden publicar la desaparición del bien, detener su venta o rastrear su paradero, para que sea devuelto a la comunidad.											
30	Cheemte												
31													
32													
33													
34													
35													
36													
37													
38													
39													
40													
41													
42													
43													
44													
45													
46													
47													
48													
49													
50													
51													
52													
53													
54													
55													
56													
57													
58													
59													
60													
61													
62													
63													
64													
65													
66													
67													
68													
69													
70													
71													
72													
73													
74													
75													
76													
77													
78													
79													
80													
81													
82													
83													
84													
85													
86													
87													
88													
89													
90													
91													
92													
93													
94													
95													
96													
97													
98													
99													